component,category,subcategory,projected_year_number,projection_year_range,number_of_projections,average_error,average_absolute_error,RMSE,two_thirds_spread
debt,Total,Total,1,1984-2024,41,-0.3,1.1,2.5,1.7
debt,Total,Total,2,1985-2024,40,-1.5,2.6,4.6,4.8
debt,Total,Total,3,1986-2024,39,-3.1,4.9,7.2,9.7
debt,Total,Total,4,1987-2024,38,-4.8,7.5,10.1,17.6
debt,Total,Total,5,1988-2024,37,-6.7,10.4,13.2,24.6
debt,Total,Total,6,1989-2024,36,-8.4,13.1,15.9,28.1
debt,Total,Total,7,2002-2024,23,-16.9,19.3,21.7,20.8
debt,Total,Total,8,2003-2024,22,-20.9,22.9,25.6,26.4
debt,Total,Total,9,2004-2024,21,-25.0,27.0,30.2,34.0
debt,Total,Total,10,2005-2024,20,-29.6,31.6,35.0,35.8
debt,Total,Total,11,2006-2024,19,-34.4,36.6,40.1,35.2
